Fit,Predict,Optimize,GPU
0.15,0.5,19.42,0
0.14,0.48,0.0,0
0.14,0.49,0.0,0
0.14,0.48,0.0,0
0.14,0.49,0.0,0
0.14,0.49,0.0,0
0.14,0.49,0.0,0
0.14,0.5,0.0,0
0.14,0.48,0.0,0
0.14,0.48,0.0,0
