TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
171,5560,19,0,0.9,1.0,0.9474,0.9966,0.9967,0.1,train
1699,55584,219,4,0.8858,0.9977,0.9384,0.9961,0.9961,0.1,val
14916,495073,1768,48,0.894,0.9968,0.9426,0.9964,0.9965,0.1,test
