TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
1385,55438,339,344,0.8034,0.801,0.8022,0.9939,0.9881,0.1,train
1314,55489,369,334,0.7807,0.7973,0.789,0.9934,0.9878,0.1,val
10703,443758,2830,2758,0.7909,0.7951,0.793,0.9937,0.9879,0.1,test
