TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
78199,172188,29,66,0.9996,0.9992,0.9994,0.9998,0.9996,0.9,train
15524,34541,9,22,0.9994,0.9986,0.999,0.9997,0.9994,0.9,val
62133,138146,35,73,0.9994,0.9988,0.9991,0.9997,0.9995,0.9,test
