TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
8346,278968,188,28,0.978,0.9967,0.9872,0.9993,0.9992,0.2,train
1660,55786,54,6,0.9685,0.9964,0.9822,0.999,0.999,0.2,val
6775,223064,163,23,0.9765,0.9966,0.9865,0.9993,0.9992,0.2,test
