TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
15065,21281,3216,3226,0.8241,0.8236,0.8239,0.8687,0.8494,0.9,train
2923,4319,651,664,0.8179,0.8149,0.8164,0.869,0.8463,0.9,val
11955,16956,2671,2650,0.8174,0.8186,0.818,0.8639,0.8446,0.9,test
