TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
12,190221,5471,54778,0.0022,0.0002,0.0004,0.972,0.7595,0.2,train
24,33835,386,15851,0.0585,0.0015,0.0029,0.9887,0.6759,0.2,val
174,109342,5693,85178,0.0297,0.002,0.0038,0.9505,0.5465,0.2,test
