Fit,Predict,Optimize,GPU
605.08,2496.24,28424.76,0
269.04,1633.59,0.0,0
431.81,1923.49,0.0,0
562.26,2005.8000000000002,0.0,0
543.05,1948.62,0.0,0
357.19,1391.63,0.0,0
320.23,2421.25,0.0,0
316.22,2392.17,0.0,0
478.96,2798.14,0.0,0
449.63,2290.38,0.0,0
