TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
7823,56878,2369,417,0.7676,0.9494,0.8488,0.96,0.9587,0.8,train
65,13369,55,8,0.5417,0.8904,0.6736,0.9959,0.9953,0.8,val
2347,50517,671,456,0.7777,0.8373,0.8064,0.9869,0.9791,0.8,test
