TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
949,26445,345,1323,0.7334,0.4177,0.5322,0.9871,0.9426,0.4,train
178,5272,78,284,0.6953,0.3853,0.4958,0.9854,0.9377,0.4,val
769,21050,343,1088,0.6915,0.4141,0.518,0.984,0.9385,0.4,test
