,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9182,2025-05-02 21:00:49.441630,2025-05-02 21:02:15.121785,0 days 00:01:25.680155,512,20,128,0.005,0.86,2,,,,COMPLETE
1,1,0.9487,2025-05-02 21:02:15.122375,2025-05-02 21:04:39.215438,0 days 00:02:24.093063,64,20,128,0.002,0.95,2,0.9528,0.9528,0.9528,COMPLETE
2,2,0.9554,2025-05-02 21:04:39.215949,2025-05-02 21:08:27.119818,0 days 00:03:47.903869,32,20,128,0.001,0.85,2,0.9554,0.9554,0.9554,COMPLETE
3,3,0.9517,2025-05-02 21:08:27.120347,2025-05-02 21:10:17.585005,0 days 00:01:50.464658,128,20,128,0.002,0.9199999999999999,2,0.953,0.953,,COMPLETE
4,4,0.9482,2025-05-02 21:10:17.585510,2025-05-02 21:11:49.184857,0 days 00:01:31.599347,128,20,128,0.005,0.86,2,0.9482,,,PRUNED
5,5,0.9558,2025-05-02 21:11:49.185245,2025-05-02 21:13:22.751459,0 days 00:01:33.566214,256,20,128,0.001,0.85,2,,,,COMPLETE
6,6,0.3258,2025-05-02 21:13:22.752018,2025-05-02 21:14:22.681435,0 days 00:00:59.929417,512,20,128,0.002,0.9199999999999999,2,0.3258,,,PRUNED
7,7,0.9514,2025-05-02 21:14:22.681765,2025-05-02 21:15:31.239777,0 days 00:01:08.558012,512,20,128,0.002,0.98,2,0.9514,,,PRUNED
8,8,0.9531,2025-05-02 21:15:31.240127,2025-05-02 21:16:49.164969,0 days 00:01:17.924842,256,20,128,0.005,0.96,2,0.9531,,,PRUNED
9,9,0.9539,2025-05-02 21:16:49.165313,2025-05-02 21:18:31.311484,0 days 00:01:42.146171,64,20,128,0.005,0.96,2,0.9539,0.9539,,PRUNED
10,10,0.9495,2025-05-02 21:18:31.311821,2025-05-02 21:20:05.129454,0 days 00:01:33.817633,256,20,128,0.001,0.89,2,,,,COMPLETE
11,11,0.9526,2025-05-02 21:20:05.130001,2025-05-02 21:23:57.013136,0 days 00:03:51.883135,32,20,128,0.001,0.85,2,,,,COMPLETE
12,12,0.9463,2025-05-02 21:23:57.013718,2025-05-02 21:26:25.940444,0 days 00:02:28.926726,32,20,128,0.001,0.9,2,0.9463,,,PRUNED
13,13,0.9469,2025-05-02 21:26:25.940790,2025-05-02 21:27:54.578042,0 days 00:01:28.637252,1024,20,128,0.001,0.88,2,,,,COMPLETE
14,14,0.9492,2025-05-02 21:27:54.578611,2025-05-02 21:31:47.741235,0 days 00:03:53.162624,32,20,128,0.001,0.87,2,0.9481,,,COMPLETE
15,15,0.9542,2025-05-02 21:31:47.741804,2025-05-02 21:33:21.756636,0 days 00:01:34.014832,256,20,128,0.001,0.85,2,,,,COMPLETE
16,16,0.9513,2025-05-02 21:33:21.757227,2025-05-02 21:34:51.113436,0 days 00:01:29.356209,1024,20,128,0.001,0.9,2,,,,COMPLETE
17,17,0.9533,2025-05-02 21:34:51.114019,2025-05-02 21:36:25.466372,0 days 00:01:34.352353,256,20,128,0.001,0.88,2,0.9533,0.9533,,COMPLETE
18,18,0.9545,2025-05-02 21:36:25.466982,2025-05-02 21:40:19.299525,0 days 00:03:53.832543,32,20,128,0.001,0.85,2,,,,COMPLETE
19,19,0.9532,2025-05-02 21:40:19.300092,2025-05-02 21:41:46.299098,0 days 00:01:26.999006,256,20,128,0.001,0.9299999999999999,2,0.9532,,,PRUNED
20,20,0.953,2025-05-02 21:41:46.299458,2025-05-02 21:45:37.984449,0 days 00:03:51.684991,32,20,128,0.001,0.99,2,,,,COMPLETE
21,21,0.952,2025-05-02 21:45:37.984996,2025-05-02 21:49:29.386944,0 days 00:03:51.401948,32,20,128,0.001,0.85,2,0.9519,,,COMPLETE
22,22,0.9551,2025-05-02 21:49:29.387488,2025-05-02 21:53:17.609315,0 days 00:03:48.221827,32,20,128,0.001,0.87,2,,,,COMPLETE
23,23,0.8842,2025-05-02 21:53:17.609854,2025-05-02 21:56:13.929335,0 days 00:02:56.319481,32,20,128,0.001,0.87,2,0.8842,,,PRUNED
24,24,0.955,2025-05-02 21:56:13.929670,2025-05-02 21:59:55.723262,0 days 00:03:41.793592,32,20,128,0.001,0.87,2,,,,COMPLETE
25,25,0.9548,2025-05-02 21:59:55.723775,2025-05-02 22:01:42.596473,0 days 00:01:46.872698,128,20,128,0.001,0.89,2,,,,COMPLETE
26,26,0.9525,2025-05-02 22:01:42.596992,2025-05-02 22:04:04.689364,0 days 00:02:22.092372,64,20,128,0.001,0.86,2,0.9525,,,COMPLETE
27,27,0.9423,2025-05-02 22:04:04.689853,2025-05-02 22:05:31.381534,0 days 00:01:26.691681,1024,20,128,0.001,0.88,2,,,,COMPLETE
28,28,0.9528,2025-05-02 22:05:31.382050,2025-05-02 22:06:37.548193,0 days 00:01:06.166143,256,20,128,0.005,0.9,2,0.9528,,,PRUNED
29,29,0.9533,2025-05-02 22:06:37.548518,2025-05-02 22:08:02.857547,0 days 00:01:25.309029,512,20,128,0.002,0.86,2,0.9533,0.9533,,COMPLETE
