TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
59,5586,0,105,1.0,0.3598,0.5291,1.0,0.9817,0.5,train
604,55842,0,1060,1.0,0.363,0.5326,1.0,0.9816,0.5,val
5544,496795,0,9466,1.0,0.3694,0.5395,1.0,0.9815,0.5,test
