,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.8956810631229235,2025-07-04 23:38:00.508422,2025-07-04 23:38:01.219878,0 days 00:00:00.711456,0.09,0.01,4500,COMPLETE
1,1,0.8375350140056023,2025-07-04 23:38:01.220356,2025-07-04 23:38:02.016377,0 days 00:00:00.796021,0.38,0.31,5000,COMPLETE
2,2,0.8395665851101014,2025-07-04 23:38:02.016852,2025-07-04 23:38:02.371339,0 days 00:00:00.354487,0.33,0.25,3000,COMPLETE
3,3,0.8309859154929577,2025-07-04 23:38:02.371794,2025-07-04 23:38:02.884515,0 days 00:00:00.512721,0.41000000000000003,0.33,4000,COMPLETE
4,4,0.8222774033345157,2025-07-04 23:38:02.884990,2025-07-04 23:38:03.638058,0 days 00:00:00.753068,0.53,0.52,5000,COMPLETE
5,5,0.8988095238095238,2025-07-04 23:38:03.638503,2025-07-04 23:38:04.006401,0 days 00:00:00.367898,0.07,0.05,3000,COMPLETE
6,6,0.8440111420612812,2025-07-04 23:38:04.006920,2025-07-04 23:38:04.449712,0 days 00:00:00.442792,0.30000000000000004,0.29000000000000004,3500,COMPLETE
7,7,0.8492201039861352,2025-07-04 23:38:04.450175,2025-07-04 23:38:04.985446,0 days 00:00:00.535271,0.25,0.2,4000,COMPLETE
8,8,0.8061848256023013,2025-07-04 23:38:04.985897,2025-07-04 23:38:05.514347,0 days 00:00:00.528450,0.65,0.64,4000,COMPLETE
9,9,0.8728382502543236,2025-07-04 23:38:05.514794,2025-07-04 23:38:05.965912,0 days 00:00:00.451118,0.13,0.13,3500,COMPLETE
10,10,0.9130998702983139,2025-07-04 23:38:05.966373,2025-07-04 23:38:06.393281,0 days 00:00:00.426908,0.02,0.01,3000,COMPLETE
11,11,0.9023989484061781,2025-07-04 23:38:06.393734,2025-07-04 23:38:06.790796,0 days 00:00:00.397062,0.04,0.04,3000,COMPLETE
12,12,0.8736021687563538,2025-07-04 23:38:06.791346,2025-07-04 23:38:07.173431,0 days 00:00:00.382085,0.12,0.12,3000,COMPLETE
13,13,0.8305741458259951,2025-07-04 23:38:07.174028,2025-07-04 23:38:07.624808,0 days 00:00:00.450780,0.42000000000000004,0.42000000000000004,3500,COMPLETE
14,14,0.9020125371164631,2025-07-04 23:38:07.625411,2025-07-04 23:38:08.011000,0 days 00:00:00.385589,0.11,0.11,3000,COMPLETE
15,15,0.911032028469751,2025-07-04 23:38:08.011451,2025-07-04 23:38:08.507836,0 days 00:00:00.496385,0.02,0.02,3500,COMPLETE
