TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
7351,278084,1048,1047,0.8752,0.8753,0.8753,0.9962,0.9927,0.4,train
1457,55609,212,228,0.873,0.8647,0.8688,0.9962,0.9923,0.4,val
5945,222436,834,810,0.877,0.8801,0.8785,0.9963,0.9929,0.4,test
