TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
6491,278564,574,1901,0.9188,0.7735,0.8399,0.9979,0.9914,0.3,train
1276,55675,113,442,0.9186,0.7427,0.8214,0.998,0.9903,0.3,val
5188,222847,450,1540,0.9202,0.7711,0.8391,0.998,0.9913,0.3,test
