,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.9466,2025-04-27 21:01:58.691549,2025-04-27 21:04:52.148359,0 days 00:02:53.456810,128,20,128,0.002,0.88,2,,,,COMPLETE
1,1,0.9381,2025-04-27 21:04:52.148831,2025-04-27 21:07:52.236473,0 days 00:03:00.087642,512,20,128,0.001,0.99,2,,,,COMPLETE
2,2,0.9463,2025-04-27 21:07:52.236936,2025-04-27 21:10:50.653560,0 days 00:02:58.416624,256,20,128,0.001,0.95,2,,,,COMPLETE
3,3,0.9433,2025-04-27 21:10:50.654014,2025-04-27 21:13:52.114320,0 days 00:03:01.460306,1024,20,128,0.002,0.86,2,,,,COMPLETE
4,4,0.9266,2025-04-27 21:13:52.114710,2025-04-27 21:16:58.283361,0 days 00:03:06.168651,128,20,128,0.002,0.89,2,,,,COMPLETE
5,5,0.9533,2025-04-27 21:16:58.283774,2025-04-27 21:19:59.384964,0 days 00:03:01.101190,1024,20,128,0.005,0.94,2,,,,COMPLETE
6,6,0.9502,2025-04-27 21:19:59.385395,2025-04-27 21:22:55.642008,0 days 00:02:56.256613,256,20,128,0.001,0.9199999999999999,2,,,,COMPLETE
7,7,0.8678,2025-04-27 21:22:55.642430,2025-04-27 21:26:09.129447,0 days 00:03:13.487017,64,20,128,0.005,0.9,2,,,,COMPLETE
8,8,0.9317,2025-04-27 21:26:09.129861,2025-04-27 21:29:12.112507,0 days 00:03:02.982646,128,20,128,0.002,0.89,2,,,,COMPLETE
9,9,0.9494,2025-04-27 21:29:12.112928,2025-04-27 21:32:12.773753,0 days 00:03:00.660825,512,20,128,0.005,0.85,2,,,,COMPLETE
10,10,0.9295,2025-04-27 21:32:12.774183,2025-04-27 21:35:08.971364,0 days 00:02:56.197181,1024,20,128,0.005,0.96,2,0.9295,,,COMPLETE
11,11,0.9497,2025-04-27 21:35:08.971741,2025-04-27 21:38:04.289052,0 days 00:02:55.317311,256,20,128,0.001,0.9299999999999999,2,,,,COMPLETE
12,12,0.9013,2025-04-27 21:38:04.289505,2025-04-27 21:41:42.759920,0 days 00:03:38.470415,32,20,128,0.005,0.9299999999999999,2,0.8951,0.8951,0.8951,COMPLETE
13,13,0.9278,2025-04-27 21:41:42.760346,2025-04-27 21:44:39.922570,0 days 00:02:57.162224,256,20,128,0.001,0.96,2,,,,COMPLETE
14,14,0.9424,2025-04-27 21:44:39.922998,2025-04-27 21:47:40.739778,0 days 00:03:00.816780,1024,20,128,0.005,0.9099999999999999,2,,,,COMPLETE
15,15,0.9563,2025-04-27 21:47:40.740213,2025-04-27 21:50:54.243186,0 days 00:03:13.502973,64,20,128,0.001,0.94,2,,,,COMPLETE
16,16,0.9551,2025-04-27 21:50:54.243610,2025-04-27 21:54:09.199898,0 days 00:03:14.956288,64,20,128,0.001,0.99,2,,,,COMPLETE
17,17,0.9543,2025-04-27 21:54:09.200316,2025-04-27 21:57:25.565429,0 days 00:03:16.365113,64,20,128,0.001,0.99,2,,,,COMPLETE
18,18,0.9492,2025-04-27 21:57:25.565845,2025-04-27 22:00:40.595335,0 days 00:03:15.029490,64,20,128,0.001,0.97,2,,,,COMPLETE
19,19,0.9514,2025-04-27 22:00:40.595749,2025-04-27 22:03:55.754824,0 days 00:03:15.159075,64,20,128,0.001,0.98,2,,,,COMPLETE
20,20,0.9511,2025-04-27 22:03:55.755246,2025-04-27 22:07:10.694707,0 days 00:03:14.939461,64,20,128,0.001,0.97,2,,,,COMPLETE
21,21,0.9508,2025-04-27 22:07:10.695137,2025-04-27 22:10:25.564283,0 days 00:03:14.869146,64,20,128,0.001,0.99,2,,,,COMPLETE
22,22,0.9507,2025-04-27 22:10:25.564703,2025-04-27 22:13:40.304134,0 days 00:03:14.739431,64,20,128,0.001,0.99,2,,,,COMPLETE
23,23,0.9507,2025-04-27 22:13:40.304554,2025-04-27 22:16:55.071222,0 days 00:03:14.766668,64,20,128,0.001,0.97,2,,,,COMPLETE
24,24,0.9484,2025-04-27 22:16:55.071643,2025-04-27 22:20:34.639444,0 days 00:03:39.567801,32,20,128,0.001,0.98,2,,,,COMPLETE
25,25,0.9536,2025-04-27 22:20:34.639875,2025-04-27 22:23:48.996988,0 days 00:03:14.357113,64,20,128,0.001,0.95,2,,,,COMPLETE
26,26,0.9519,2025-04-27 22:23:48.997429,2025-04-27 22:27:03.608593,0 days 00:03:14.611164,64,20,128,0.001,0.95,2,0.9306,,,COMPLETE
27,27,0.9483,2025-04-27 22:27:03.609024,2025-04-27 22:30:18.270336,0 days 00:03:14.661312,64,20,128,0.001,0.98,2,,,,COMPLETE
28,28,0.9524,2025-04-27 22:30:18.270759,2025-04-27 22:33:33.447103,0 days 00:03:15.176344,64,20,128,0.001,0.96,2,,,,COMPLETE
29,29,0.9184,2025-04-27 22:33:33.447533,2025-04-27 22:37:13.510643,0 days 00:03:40.063110,32,20,128,0.002,0.87,2,,,,COMPLETE
