TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
78130,172300,2,50,1.0,0.9994,0.9997,1.0,0.9998,0.0,train
15611,34467,6,12,0.9996,0.9992,0.9994,0.9998,0.9996,0.0,val
62149,138166,7,65,0.9999,0.999,0.9994,0.9999,0.9996,0.0,test
