TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
750,56713,0,43,1.0,0.9458,0.9721,1.0,0.9993,0.9,train
2463,23009,31908,126,0.0717,0.9513,0.1333,0.419,0.4429,0.9,val
11433,351822,94771,2023,0.1077,0.8497,0.1911,0.7878,0.7896,0.9,test
