,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
40,40,0.9169129720853858,2025-07-02 16:31:42.200127,2025-07-02 16:37:05.905528,0 days 00:05:23.705401,0.02,0.01,5000,COMPLETE
41,41,0.944337811900192,2025-07-02 16:37:05.905957,2025-07-02 16:42:15.037825,0 days 00:05:09.131868,0.01,0.01,4500,COMPLETE
42,42,0.9154883262084841,2025-07-02 16:42:15.038308,2025-07-02 16:45:44.220309,0 days 00:03:29.182001,0.04,0.04,4500,COMPLETE
43,43,0.8921008403361345,2025-07-02 16:45:44.220727,2025-07-02 16:48:45.887836,0 days 00:03:01.667109,0.09999999999999999,0.09999999999999999,4500,COMPLETE
44,44,0.9064366290643662,2025-07-02 16:48:45.888294,2025-07-02 16:52:59.432166,0 days 00:04:13.543872,0.05,0.05,5000,COMPLETE
45,45,0.8520586182833217,2025-07-02 16:52:59.432632,2025-07-02 16:55:26.221847,0 days 00:02:26.789215,0.21000000000000002,0.16,4000,COMPLETE
46,46,0.8958123953098828,2025-07-02 16:55:26.222337,2025-07-02 16:58:03.783397,0 days 00:02:37.561060,0.09,0.09,3500,COMPLETE
47,47,0.9154883262084841,2025-07-02 16:58:03.783853,2025-07-02 17:02:06.494077,0 days 00:04:02.710224,0.04,0.04,4500,COMPLETE
48,48,0.8849018280297902,2025-07-02 17:02:06.494531,2025-07-02 17:04:40.523966,0 days 00:02:34.029435,0.11,0.11,3500,COMPLETE
49,49,0.827512473271561,2025-07-02 17:04:40.524395,2025-07-02 17:06:34.263626,0 days 00:01:53.739231,0.41000000000000003,0.39,4000,COMPLETE
