TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
1877,55179,370,80,0.8353,0.9591,0.893,0.9933,0.9922,0.6,train
1966,55457,5,78,0.9975,0.9618,0.9793,0.9999,0.9986,0.6,val
12261,325654,121558,576,0.0916,0.9551,0.1672,0.7282,0.7345,0.6,test
