TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
1380,26732,41,909,0.9711,0.6029,0.7439,0.9985,0.9673,0.2,train
262,5356,17,177,0.9391,0.5968,0.7298,0.9968,0.9666,0.2,val
1105,21336,51,758,0.9559,0.5931,0.732,0.9976,0.9652,0.2,test
