,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.7309782608695652,2025-07-04 23:51:59.779462,2025-07-04 23:52:01.411698,0 days 00:00:01.632236,0.34,0.27,3000,COMPLETE
1,1,0.7490247074122237,2025-07-04 23:52:01.412004,2025-07-04 23:52:03.967573,0 days 00:00:02.555569,0.18,0.13,4000,COMPLETE
2,2,0.712707182320442,2025-07-04 23:52:03.968060,2025-07-04 23:52:05.986898,0 days 00:00:02.018838,0.47,0.37,4500,COMPLETE
3,3,0.6928471248246845,2025-07-04 23:52:05.987394,2025-07-04 23:52:07.552715,0 days 00:00:01.565321,0.69,0.59,4000,COMPLETE
4,4,0.701949860724234,2025-07-04 23:52:07.553207,2025-07-04 23:52:08.755526,0 days 00:00:01.202319,0.6200000000000001,0.5700000000000001,3000,COMPLETE
5,5,0.7538461538461538,2025-07-04 23:52:08.755774,2025-07-04 23:52:12.800845,0 days 00:00:04.045071,0.1,0.02,3000,COMPLETE
6,6,0.6983240223463687,2025-07-04 23:52:12.801332,2025-07-04 23:52:14.007330,0 days 00:00:01.205998,0.6400000000000001,0.5700000000000001,3000,COMPLETE
7,7,0.7162534435261708,2025-07-04 23:52:14.007576,2025-07-04 23:52:16.187023,0 days 00:00:02.179447,0.44,0.44,5000,COMPLETE
8,8,0.751937984496124,2025-07-04 23:52:16.187282,2025-07-04 23:52:18.708311,0 days 00:00:02.521029,0.14,0.09,3000,COMPLETE
9,9,0.7037552155771906,2025-07-04 23:52:18.708772,2025-07-04 23:52:20.836555,0 days 00:00:02.127783,0.57,0.49,5000,COMPLETE
10,10,0.7470511140235911,2025-07-04 23:52:20.837060,2025-07-04 23:52:22.873504,0 days 00:00:02.036444,0.24000000000000002,0.21000000000000002,3500,COMPLETE
11,11,0.7792848335388408,2025-07-04 23:52:22.873780,2025-07-04 23:52:27.990732,0 days 00:00:05.116952,0.060000000000000005,0.01,3500,COMPLETE
12,12,0.7228661749209694,2025-07-04 23:52:27.991238,2025-07-04 23:52:33.068852,0 days 00:00:05.077614,0.01,0.01,3500,COMPLETE
13,13,0.777101096224117,2025-07-04 23:52:33.069116,2025-07-04 23:52:36.501701,0 days 00:00:03.432585,0.06,0.04,3500,COMPLETE
14,14,0.7467700258397932,2025-07-04 23:52:36.502061,2025-07-04 23:52:38.737063,0 days 00:00:02.235002,0.16,0.16,3500,COMPLETE
15,15,0.760248447204969,2025-07-04 23:52:38.737456,2025-07-04 23:52:41.531403,0 days 00:00:02.793947,0.08,0.08,3500,COMPLETE
16,16,0.7470511140235911,2025-07-04 23:52:41.531647,2025-07-04 23:52:43.641817,0 days 00:00:02.110170,0.24000000000000002,0.24000000000000002,4000,COMPLETE
17,17,0.742627345844504,2025-07-04 23:52:43.642175,2025-07-04 23:52:45.752582,0 days 00:00:02.110407,0.31,0.31,4500,COMPLETE
18,18,0.7451487710219922,2025-07-04 23:52:45.752836,2025-07-04 23:52:47.942324,0 days 00:00:02.189488,0.17,0.17,3500,COMPLETE
19,19,0.774271844660194,2025-07-04 23:52:47.942576,2025-07-04 23:52:51.364701,0 days 00:00:03.422125,0.060000000000000005,0.060000000000000005,4500,COMPLETE
20,20,0.7222982216142271,2025-07-04 23:52:51.365223,2025-07-04 23:52:53.141593,0 days 00:00:01.776370,0.41000000000000003,0.38,4000,COMPLETE
21,21,0.774271844660194,2025-07-04 23:52:53.141885,2025-07-04 23:52:56.572341,0 days 00:00:03.430456,0.060000000000000005,0.060000000000000005,4500,COMPLETE
22,22,0.7728894173602854,2025-07-04 23:52:56.572597,2025-07-04 23:53:02.047287,0 days 00:00:05.474690,0.04,0.01,4500,COMPLETE
23,23,0.7464968152866241,2025-07-04 23:53:02.047544,2025-07-04 23:53:04.481204,0 days 00:00:02.433660,0.12,0.12,3500,COMPLETE
24,24,0.7735618115055081,2025-07-04 23:53:04.481462,2025-07-04 23:53:07.689635,0 days 00:00:03.208173,0.07,0.060000000000000005,4000,COMPLETE
25,25,0.7470511140235911,2025-07-04 23:53:07.689947,2025-07-04 23:53:10.420211,0 days 00:00:02.730264,0.23,0.2,5000,COMPLETE
26,26,0.6901408450704226,2025-07-04 23:53:10.420474,2025-07-04 23:53:12.194055,0 days 00:00:01.773581,0.75,0.65,4500,COMPLETE
27,27,0.7464968152866241,2025-07-04 23:53:12.194313,2025-07-04 23:53:14.629740,0 days 00:00:02.435427,0.12,0.12,3500,COMPLETE
28,28,0.7745803357314149,2025-07-04 23:53:14.630203,2025-07-04 23:53:18.252964,0 days 00:00:03.622761,0.05,0.04,4000,COMPLETE
29,29,0.7443105756358768,2025-07-04 23:53:18.253220,2025-07-04 23:53:20.231625,0 days 00:00:01.978405,0.30000000000000004,0.27,4000,COMPLETE
