,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
40,40,0.83591123066577,2025-07-02 14:43:03.770772,2025-07-02 14:43:32.145868,0 days 00:00:28.375096,0.36000000000000004,0.34,3500,COMPLETE
41,41,0.9045512010113781,2025-07-02 14:43:32.146156,2025-07-02 14:44:41.693673,0 days 00:01:09.547517,0.02,0.02,5000,COMPLETE
42,42,0.9359877488514547,2025-07-02 14:44:41.693992,2025-07-02 14:45:54.624487,0 days 00:01:12.930495,0.01,0.01,5000,COMPLETE
43,43,0.9245107176141659,2025-07-02 14:45:54.624776,2025-07-02 14:46:56.475539,0 days 00:01:01.850763,0.05,0.05,5000,COMPLETE
44,44,0.9040835707502375,2025-07-02 14:46:56.475835,2025-07-02 14:47:46.355689,0 days 00:00:49.879854,0.09,0.09,4500,COMPLETE
45,45,0.9359877488514547,2025-07-02 14:47:46.355977,2025-07-02 14:48:49.597119,0 days 00:01:03.241142,0.01,0.01,4500,COMPLETE
46,46,0.8726799088244871,2025-07-02 14:48:49.597410,2025-07-02 14:49:20.914869,0 days 00:00:31.317459,0.13,0.13,3500,COMPLETE
47,47,0.7917540181691125,2025-07-02 14:49:20.915156,2025-07-02 14:50:15.272693,0 days 00:00:54.357537,0.66,0.5700000000000001,5000,COMPLETE
48,48,0.9019980970504282,2025-07-02 14:50:15.272978,2025-07-02 14:51:00.017252,0 days 00:00:44.744274,0.04,0.04,4000,COMPLETE
49,49,0.8960459183673469,2025-07-02 14:51:00.017532,2025-07-02 14:51:50.919477,0 days 00:00:50.901945,0.06999999999999999,0.06999999999999999,4500,COMPLETE
