,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.7196418578623391,2025-07-04 23:38:59.285392,2025-07-04 23:39:12.782374,0 days 00:00:13.496982,0.35,0.26,3500,COMPLETE
1,1,0.6997150997150998,2025-07-04 23:39:12.782836,2025-07-04 23:39:20.804060,0 days 00:00:08.021224,0.66,0.64,3000,COMPLETE
2,2,0.74400871459695,2025-07-04 23:39:20.804486,2025-07-04 23:39:43.692100,0 days 00:00:22.887614,0.19,0.09999999999999999,5000,COMPLETE
3,3,0.7287853577371047,2025-07-04 23:39:43.692524,2025-07-04 23:39:55.819809,0 days 00:00:12.127285,0.29000000000000004,0.28,3000,COMPLETE
4,4,0.7063492063492064,2025-07-04 23:39:55.820234,2025-07-04 23:40:07.044806,0 days 00:00:11.224572,0.52,0.44,4500,COMPLETE
5,5,0.7117879300620418,2025-07-04 23:40:07.045233,2025-07-04 23:40:17.923592,0 days 00:00:10.878359,0.43,0.38,3500,COMPLETE
6,6,0.7164514317798989,2025-07-04 23:40:17.924020,2025-07-04 23:40:28.582189,0 days 00:00:10.658169,0.41000000000000003,0.35000000000000003,3000,COMPLETE
7,7,0.7683377308707123,2025-07-04 23:40:28.582619,2025-07-04 23:41:07.461600,0 days 00:00:38.878981,0.08,0.02,4000,COMPLETE
8,8,0.7004555808656037,2025-07-04 23:41:07.462024,2025-07-04 23:41:17.439765,0 days 00:00:09.977741,0.64,0.56,4500,COMPLETE
9,9,0.7196418578623391,2025-07-04 23:41:17.440189,2025-07-04 23:41:30.148308,0 days 00:00:12.708119,0.39,0.33,4500,COMPLETE
10,10,0.7710351861295257,2025-07-04 23:41:30.148730,2025-07-04 23:42:04.860090,0 days 00:00:34.711360,0.04,0.03,4000,COMPLETE
11,11,0.774258421317245,2025-07-04 23:42:04.860518,2025-07-04 23:42:53.396442,0 days 00:00:48.535924,0.03,0.01,4000,COMPLETE
12,12,0.7556029882604056,2025-07-04 23:42:53.396877,2025-07-04 23:43:12.765204,0 days 00:00:19.368327,0.14,0.14,4000,COMPLETE
13,13,0.7702169625246549,2025-07-04 23:43:12.765643,2025-07-04 23:44:00.388992,0 days 00:00:47.623349,0.02,0.01,3500,COMPLETE
14,14,0.7447154471544715,2025-07-04 23:44:00.389564,2025-07-04 23:44:17.663814,0 days 00:00:17.274250,0.18000000000000002,0.18000000000000002,4000,COMPLETE
15,15,0.7635028841111694,2025-07-04 23:44:17.664244,2025-07-04 23:44:42.716865,0 days 00:00:25.052621,0.08,0.08,5000,COMPLETE
16,16,0.7403375068045727,2025-07-04 23:44:42.717294,2025-07-04 23:45:00.189432,0 days 00:00:17.472138,0.2,0.2,4500,COMPLETE
17,17,0.768025078369906,2025-07-04 23:45:00.189874,2025-07-04 23:45:24.068610,0 days 00:00:23.878736,0.06999999999999999,0.06999999999999999,3500,COMPLETE
18,18,0.7403375068045727,2025-07-04 23:45:24.069040,2025-07-04 23:45:40.816950,0 days 00:00:16.747910,0.2,0.2,4000,COMPLETE
19,19,0.7063492063492064,2025-07-04 23:45:40.817380,2025-07-04 23:45:51.599776,0 days 00:00:10.782396,0.5,0.43,4000,COMPLETE
