,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
39,39,0.5222468290718745,2025-07-02 14:52:33.379912,2025-07-02 14:53:30.512215,0 days 00:00:57.132303,0.11,0.11,4000,COMPLETE
40,40,0.7041710480196285,2025-07-02 14:53:30.512515,2025-07-02 14:54:41.348367,0 days 00:01:10.835852,0.05,0.05,4000,COMPLETE
41,41,0.9380804953560372,2025-07-02 14:54:41.348668,2025-07-02 14:56:19.718704,0 days 00:01:38.370036,0.01,0.01,3500,COMPLETE
42,42,0.2861163227016885,2025-07-02 14:56:19.718991,2025-07-02 14:57:00.734210,0 days 00:00:41.015219,0.73,0.65,4000,COMPLETE
43,43,0.8987135886440929,2025-07-02 14:57:00.734525,2025-07-02 14:58:38.759583,0 days 00:01:38.025058,0.02,0.01,3500,COMPLETE
44,44,0.704521556256572,2025-07-02 14:58:38.759872,2025-07-02 15:00:08.378342,0 days 00:01:29.618470,0.05,0.05,5000,COMPLETE
45,45,0.7354596622889306,2025-07-02 15:00:08.378626,2025-07-02 15:01:14.194397,0 days 00:01:05.815771,0.04,0.04,3500,COMPLETE
46,46,0.4006999125109362,2025-07-02 15:01:14.194701,2025-07-02 15:01:59.132902,0 days 00:00:44.938201,0.37,0.34,4000,COMPLETE
47,47,0.4932126696832579,2025-07-02 15:01:59.133211,2025-07-02 15:03:00.201877,0 days 00:01:01.068666,0.18,0.16,4500,COMPLETE
48,48,0.37563903089575457,2025-07-02 15:03:00.202159,2025-07-02 15:03:41.788439,0 days 00:00:41.586280,0.55,0.55,4000,COMPLETE
49,49,0.5078395438810833,2025-07-02 15:03:41.788722,2025-07-02 15:04:24.486046,0 days 00:00:42.697324,0.13999999999999999,0.09999999999999999,3000,COMPLETE
