TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
817,12398,5,277,0.9939,0.7468,0.8528,0.9996,0.9791,0.7,train
884,12351,13,249,0.9855,0.7802,0.8709,0.9989,0.9806,0.7,val
6941,99005,87,1948,0.9876,0.7809,0.8721,0.9991,0.9812,0.7,test
