TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
14354,166963,605,68560,0.9596,0.1731,0.2933,0.9964,0.7239,0.1,train
47,49354,390,305,0.1076,0.1335,0.1191,0.9922,0.9861,0.1,val
38171,117405,10231,34580,0.7886,0.5247,0.6301,0.9198,0.7764,0.1,test
