TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
73363,172593,1,4525,1.0,0.9419,0.9701,1.0,0.9819,0.6,train
14666,34469,15,946,0.999,0.9394,0.9683,0.9996,0.9808,0.6,val
58670,137807,63,3847,0.9989,0.9385,0.9678,0.9995,0.9805,0.6,test
