TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
611,61235,3889,1752,0.1358,0.2586,0.1781,0.9403,0.9164,0.2,train
261,10482,2386,368,0.0986,0.4149,0.1593,0.8146,0.796,0.2,val
7006,23327,22540,1118,0.2371,0.8624,0.372,0.5086,0.5618,0.2,test
