TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
3595,55069,6869,1954,0.3436,0.6479,0.449,0.8891,0.8693,0.0,train
727,11008,1349,413,0.3502,0.6377,0.4521,0.8908,0.8695,0.0,val
2856,44065,5499,1571,0.3418,0.6451,0.4469,0.8891,0.8691,0.0,test
