,number,value,datetime_start,datetime_complete,duration,params_anomaly_threshold,params_max_dist,params_num_bootstrap_samples,state
0,0,0.7460674157303371,2025-07-02 14:10:34.585832,2025-07-02 14:11:14.032382,0 days 00:00:39.446550,0.42,0.38,3500,COMPLETE
1,1,0.7697805002552321,2025-07-02 14:11:14.032666,2025-07-02 14:12:03.198042,0 days 00:00:49.165376,0.07,0.060000000000000005,3000,COMPLETE
2,2,0.7754237288135593,2025-07-02 14:12:03.198292,2025-07-02 14:13:35.192563,0 days 00:01:31.994271,0.13,0.03,5000,COMPLETE
3,3,0.7416619559072922,2025-07-02 14:13:35.192812,2025-07-02 14:14:40.623035,0 days 00:01:05.430223,0.55,0.45,5000,COMPLETE
4,4,0.7555341674687199,2025-07-02 14:14:40.623301,2025-07-02 14:15:59.109195,0 days 00:01:18.485894,0.03,0.02,4000,COMPLETE
5,5,0.7651598676957001,2025-07-02 14:15:59.109470,2025-07-02 14:16:49.402773,0 days 00:00:50.293303,0.29000000000000004,0.29000000000000004,4000,COMPLETE
6,6,0.7491601343784995,2025-07-02 14:16:49.403029,2025-07-02 14:17:47.383049,0 days 00:00:57.980020,0.4,0.34,4500,COMPLETE
7,7,0.7385138967668746,2025-07-02 14:17:47.383299,2025-07-02 14:18:41.037939,0 days 00:00:53.654640,0.6100000000000001,0.5800000000000001,4500,COMPLETE
8,8,0.7712765957446807,2025-07-02 14:18:41.038203,2025-07-02 14:19:32.415461,0 days 00:00:51.377258,0.15,0.11,3500,COMPLETE
9,9,0.7385138967668746,2025-07-02 14:19:32.415729,2025-07-02 14:20:25.910820,0 days 00:00:53.495091,0.61,0.52,4500,COMPLETE
10,10,0.7663755458515283,2025-07-02 14:20:25.911078,2025-07-02 14:21:39.664014,0 days 00:01:13.752936,0.23,0.2,5000,COMPLETE
11,11,0.7689873417721519,2025-07-02 14:21:39.664289,2025-07-02 14:22:23.561556,0 days 00:00:43.897267,0.13999999999999999,0.12,3000,COMPLETE
12,12,0.7661637931034483,2025-07-02 14:22:23.561825,2025-07-02 14:23:10.216260,0 days 00:00:46.654435,0.2,0.2,3500,COMPLETE
13,13,0.7698878804057662,2025-07-02 14:23:10.216529,2025-07-02 14:23:58.892095,0 days 00:00:48.675566,0.17,0.16,3500,COMPLETE
14,14,0.7729672650475186,2025-07-02 14:23:58.892362,2025-07-02 14:24:51.718025,0 days 00:00:52.825663,0.13,0.09,3500,COMPLETE
15,15,0.7790456431535269,2025-07-02 14:24:51.718305,2025-07-02 14:26:28.925186,0 days 00:01:37.206881,0.08,0.02,5000,COMPLETE
16,16,0.780884595831215,2025-07-02 14:26:28.925449,2025-07-02 14:28:05.506389,0 days 00:01:36.580940,0.06,0.02,5000,COMPLETE
17,17,0.7648035417819591,2025-07-02 14:28:05.506644,2025-07-02 14:29:16.795168,0 days 00:01:11.288524,0.3,0.26,5000,COMPLETE
18,18,0.7646736149204608,2025-07-02 14:29:16.795432,2025-07-02 14:30:18.910287,0 days 00:01:02.114855,0.27,0.24000000000000002,4500,COMPLETE
19,19,0.7453625632377741,2025-07-02 14:30:18.910558,2025-07-02 14:31:25.457831,0 days 00:01:06.547273,0.45000000000000007,0.42000000000000004,5000,COMPLETE
20,20,0.7346241457858771,2025-07-02 14:31:25.458101,2025-07-02 14:32:18.467657,0 days 00:00:53.009556,0.73,0.65,4500,COMPLETE
21,21,0.7757150025087808,2025-07-02 14:32:18.467920,2025-07-02 14:34:03.678207,0 days 00:01:45.210287,0.05,0.01,5000,COMPLETE
22,22,0.7757150025087808,2025-07-02 14:34:03.678480,2025-07-02 14:35:49.509377,0 days 00:01:45.830897,0.05,0.01,5000,COMPLETE
23,23,0.7757638529259452,2025-07-02 14:35:49.509791,2025-07-02 14:37:09.866732,0 days 00:01:20.356941,0.09,0.08,5000,COMPLETE
24,24,0.7684154742978272,2025-07-02 14:37:09.866993,2025-07-02 14:38:15.995045,0 days 00:01:06.128052,0.15000000000000002,0.15000000000000002,4500,COMPLETE
25,25,0.7773741567202906,2025-07-02 14:38:15.995302,2025-07-02 14:39:37.999403,0 days 00:01:22.004101,0.09,0.06999999999999999,5000,COMPLETE
26,26,0.7773741567202906,2025-07-02 14:39:37.999671,2025-07-02 14:40:49.788234,0 days 00:01:11.788563,0.09,0.06999999999999999,4500,COMPLETE
27,27,0.7707108498129341,2025-07-02 14:40:49.788504,2025-07-02 14:41:46.673892,0 days 00:00:56.885388,0.17,0.16,4000,COMPLETE
28,28,0.769150052465897,2025-07-02 14:41:46.674166,2025-07-02 14:43:04.183538,0 days 00:01:17.509372,0.12,0.12,5000,COMPLETE
29,29,0.7713554987212276,2025-07-02 14:43:04.183798,2025-07-02 14:44:19.428844,0 days 00:01:15.245046,0.07,0.05,4500,COMPLETE
30,30,0.7654455986878076,2025-07-02 14:44:19.429118,2025-07-02 14:45:32.861616,0 days 00:01:13.432498,0.24000000000000002,0.21000000000000002,5000,COMPLETE
31,31,0.7777777777777777,2025-07-02 14:45:32.861893,2025-07-02 14:46:46.626530,0 days 00:01:13.764637,0.09,0.060000000000000005,4500,COMPLETE
32,32,0.778991159646386,2025-07-02 14:46:46.626797,2025-07-02 14:48:09.942387,0 days 00:01:23.315590,0.09,0.060000000000000005,5000,COMPLETE
33,33,0.7758264462809918,2025-07-02 14:48:09.942657,2025-07-02 14:49:25.225238,0 days 00:01:15.282581,0.08,0.05,4500,COMPLETE
34,34,0.768581971534001,2025-07-02 14:49:25.225513,2025-07-02 14:50:22.813986,0 days 00:00:57.588473,0.14,0.14,4000,COMPLETE
35,35,0.7725409836065573,2025-07-02 14:50:22.814257,2025-07-02 14:51:51.055166,0 days 00:01:28.240909,0.07,0.04,5000,COMPLETE
36,36,0.7727034120734909,2025-07-02 14:51:51.055442,2025-07-02 14:53:09.957916,0 days 00:01:18.902474,0.10999999999999999,0.09999999999999999,5000,COMPLETE
37,37,0.782475802343352,2025-07-02 14:53:09.958186,2025-07-02 14:54:44.907480,0 days 00:01:34.949294,0.060000000000000005,0.01,4500,COMPLETE
38,38,0.782475802343352,2025-07-02 14:54:44.907753,2025-07-02 14:56:11.185484,0 days 00:01:26.277731,0.060000000000000005,0.01,4000,COMPLETE
39,39,0.7757150025087808,2025-07-02 14:56:11.185765,2025-07-02 14:57:37.651627,0 days 00:01:26.465862,0.05,0.01,4000,COMPLETE
40,40,0.7566964285714286,2025-07-02 14:57:37.651900,2025-07-02 14:58:28.190182,0 days 00:00:50.538282,0.34,0.29000000000000004,4000,COMPLETE
41,41,0.778115501519757,2025-07-02 14:58:28.190462,2025-07-02 14:59:41.008633,0 days 00:01:12.818171,0.06,0.03,4000,COMPLETE
42,42,0.7577220077220077,2025-07-02 14:59:41.008907,2025-07-02 15:01:16.179773,0 days 00:01:35.170866,0.03,0.01,4500,COMPLETE
43,43,0.7486033519553071,2025-07-02 15:01:16.180052,2025-07-02 15:02:24.390850,0 days 00:01:08.210798,0.39,0.37,5000,COMPLETE
44,44,0.7741935483870968,2025-07-02 15:02:24.391125,2025-07-02 15:03:15.664944,0 days 00:00:51.273819,0.060000000000000005,0.05,3000,COMPLETE
45,45,0.7751046025104602,2025-07-02 15:03:15.665221,2025-07-02 15:04:35.916335,0 days 00:01:20.251114,0.09999999999999999,0.09,5000,COMPLETE
46,46,0.7419536984754377,2025-07-02 15:04:35.916613,2025-07-02 15:05:21.240422,0 days 00:00:45.323809,0.51,0.48000000000000004,4000,COMPLETE
47,47,0.7701209889531825,2025-07-02 15:05:21.240699,2025-07-02 15:06:28.413563,0 days 00:01:07.172864,0.13,0.12,4500,COMPLETE
48,48,0.7762273901808785,2025-07-02 15:06:28.413856,2025-07-02 15:07:56.596806,0 days 00:01:28.182950,0.08,0.04,5000,COMPLETE
49,49,0.7691472026072788,2025-07-02 15:07:56.597085,2025-07-02 15:09:00.931745,0 days 00:01:04.334660,0.21000000000000002,0.18000000000000002,4500,COMPLETE
