TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
8297,279041,91,101,0.9892,0.988,0.9886,0.9997,0.9993,0.4,train
1666,55800,21,19,0.9876,0.9887,0.9881,0.9996,0.9993,0.4,val
6682,223212,58,73,0.9914,0.9892,0.9903,0.9997,0.9994,0.4,test
