,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_learning_rate,params_learning_rate_decay,params_num_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0,0.993,2025-05-02 19:14:50.725117,2025-05-02 19:28:36.829630,0 days 00:13:46.104513,256,20,128,0.005,0.94,2,,,,COMPLETE
1,1,0.9909,2025-05-02 19:28:36.830680,2025-05-02 19:43:02.795357,0 days 00:14:25.964677,512,20,128,0.001,0.9299999999999999,2,,,,COMPLETE
2,2,0.9954,2025-05-02 19:43:02.796222,2025-05-02 19:56:43.007214,0 days 00:13:40.210992,256,20,128,0.001,0.97,2,,,,COMPLETE
3,3,0.9918,2025-05-02 19:56:43.008086,2025-05-02 20:11:08.127647,0 days 00:14:25.119561,512,20,128,0.005,0.89,2,,,,COMPLETE
4,4,0.9897,2025-05-02 20:11:08.128493,2025-05-02 20:28:31.282256,0 days 00:17:23.153763,64,20,128,0.001,0.98,2,0.9897,0.9897,0.9897,COMPLETE
5,5,0.993,2025-05-02 20:28:31.283107,2025-05-02 20:45:55.764826,0 days 00:17:24.481719,64,20,128,0.002,0.86,2,,,,COMPLETE
6,6,0.993,2025-05-02 20:45:55.765678,2025-05-02 21:02:24.891269,0 days 00:16:29.125591,1024,20,128,0.005,0.86,2,,,,COMPLETE
7,7,0.99,2025-05-02 21:02:24.892168,2025-05-02 21:19:59.474692,0 days 00:17:34.582524,64,20,128,0.002,0.87,2,0.9906,0.9906,,COMPLETE
8,8,0.9885,2025-05-02 21:19:59.475579,2025-05-02 21:37:28.120185,0 days 00:17:28.644606,64,20,128,0.005,0.9,2,,,,COMPLETE
9,9,0.9903,2025-05-02 21:37:28.121046,2025-05-02 22:03:45.717705,0 days 00:26:17.596659,32,20,128,0.002,0.94,2,,,,COMPLETE
10,10,0.9921,2025-05-02 22:03:45.718600,2025-05-02 22:17:25.021007,0 days 00:13:39.302407,256,20,128,0.001,0.99,2,,,,COMPLETE
11,11,0.9915,2025-05-02 22:17:25.021877,2025-05-02 22:31:05.821947,0 days 00:13:40.800070,256,20,128,0.001,0.96,2,,,,COMPLETE
12,12,0.9888,2025-05-02 22:31:05.822849,2025-05-02 22:44:45.393016,0 days 00:13:39.570167,256,20,128,0.005,0.96,2,0.9903,0.9903,0.9903,COMPLETE
13,13,0.9866,2025-05-02 22:44:45.393894,2025-05-02 22:59:16.603755,0 days 00:14:31.209861,128,20,128,0.005,0.95,2,,,,COMPLETE
14,14,0.9948,2025-05-02 22:59:16.604640,2025-05-02 23:12:55.892526,0 days 00:13:39.287886,256,20,128,0.001,0.9199999999999999,2,,,,COMPLETE
15,15,0.9936,2025-05-02 23:12:55.893404,2025-05-02 23:26:36.409790,0 days 00:13:40.516386,256,20,128,0.001,0.9099999999999999,2,,,,COMPLETE
16,16,0.9942,2025-05-02 23:26:36.410669,2025-05-02 23:41:06.991807,0 days 00:14:30.581138,128,20,128,0.001,0.9199999999999999,2,0.9942,0.9942,,COMPLETE
17,17,0.9924,2025-05-02 23:41:06.992689,2025-05-03 00:07:33.397791,0 days 00:26:26.405102,32,20,128,0.001,0.97,2,,,,COMPLETE
18,18,0.9942,2025-05-03 00:07:33.398690,2025-05-03 00:25:09.627794,0 days 00:17:36.229104,1024,20,128,0.001,0.88,2,,,,COMPLETE
19,19,0.9954,2025-05-03 00:25:09.628690,2025-05-03 00:38:59.025906,0 days 00:13:49.397216,256,20,128,0.001,0.9199999999999999,2,,,,COMPLETE
20,20,0.9918,2025-05-03 00:38:59.026779,2025-05-03 00:52:49.370434,0 days 00:13:50.343655,256,20,128,0.001,0.9,2,0.9918,0.9918,0.9918,COMPLETE
21,21,0.9964,2025-05-03 00:52:49.371315,2025-05-03 01:06:38.105057,0 days 00:13:48.733742,256,20,128,0.001,0.9199999999999999,2,,,,COMPLETE
22,22,0.9924,2025-05-03 01:06:38.105936,2025-05-03 01:20:28.140938,0 days 00:13:50.035002,256,20,128,0.001,0.9299999999999999,2,,,,COMPLETE
23,23,0.9936,2025-05-03 01:20:28.141819,2025-05-03 01:34:17.946047,0 days 00:13:49.804228,256,20,128,0.001,0.9099999999999999,2,,,,COMPLETE
24,24,0.993,2025-05-03 01:34:17.946963,2025-05-03 01:48:06.340283,0 days 00:13:48.393320,256,20,128,0.001,0.95,2,,,,COMPLETE
25,25,0.9948,2025-05-03 01:48:06.341208,2025-05-03 02:01:55.132697,0 days 00:13:48.791489,256,20,128,0.002,0.9299999999999999,2,,,,COMPLETE
26,26,0.9939,2025-05-03 02:01:55.133595,2025-05-03 02:16:30.456674,0 days 00:14:35.323079,128,20,128,0.001,0.9099999999999999,2,,,,COMPLETE
27,27,0.9897,2025-05-03 02:16:30.457578,2025-05-03 02:33:06.390079,0 days 00:16:35.932501,1024,20,128,0.001,0.89,2,0.9897,,,PRUNED
28,28,0.9816,2025-05-03 02:33:06.390705,2025-05-03 02:58:14.943868,0 days 00:25:08.553163,32,20,128,0.001,0.99,2,0.9816,,,PRUNED
29,29,0.9927,2025-05-03 02:58:14.944486,2025-05-03 03:12:06.831583,0 days 00:13:51.887097,256,20,128,0.002,0.95,2,,,,COMPLETE
