TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
6825,278713,332,1660,0.9536,0.8044,0.8727,0.9988,0.9931,0.5,train
1345,55780,60,321,0.9573,0.8073,0.8759,0.9989,0.9934,0.5,val
5433,223056,282,1254,0.9507,0.8125,0.8761,0.9987,0.9933,0.5,test
