TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
5897,279138,0,2495,1.0,0.7027,0.8254,1.0,0.9913,0.3,train
1205,55678,110,513,0.9163,0.7014,0.7946,0.998,0.9892,0.3,val
4740,222936,361,1988,0.9292,0.7045,0.8014,0.9984,0.9898,0.3,test
