,number,value,datetime_start,datetime_complete,duration,params_c_alpha,params_n_components,params_threshold_mult,state
38,38,0.8913162206444566,2025-05-02 18:28:19.648572,2025-05-02 18:28:20.583698,0 days 00:00:00.935126,3.8906,9,0.31437471451523313,COMPLETE
39,39,0.7770700636942676,2025-05-02 18:28:20.584032,2025-05-02 18:28:21.224173,0 days 00:00:00.640141,3.8906,13,0.36462453839612075,COMPLETE
40,40,0.07090103397341212,2025-05-02 18:28:21.224533,2025-05-02 18:28:22.132970,0 days 00:00:00.908437,3.8906,27,0.5204738215656035,COMPLETE
41,41,0.8688308260754816,2025-05-02 18:28:22.133507,2025-05-02 18:28:22.799643,0 days 00:00:00.666136,3.8906,9,0.2081441428496651,COMPLETE
42,42,0.8676354029062087,2025-05-02 18:28:22.799976,2025-05-02 18:28:23.564691,0 days 00:00:00.764715,3.8906,7,0.3032035478515792,COMPLETE
43,43,0.5112359550561798,2025-05-02 18:28:23.565659,2025-05-02 18:28:24.349394,0 days 00:00:00.783735,3.8906,5,0.42459753863178273,COMPLETE
44,44,0.9130065174270332,2025-05-02 18:28:24.349730,2025-05-02 18:28:25.003061,0 days 00:00:00.653331,3.8906,10,0.1852564605470825,COMPLETE
45,45,0.9115569369878497,2025-05-02 18:28:25.003404,2025-05-02 18:28:25.652937,0 days 00:00:00.649533,3.8906,10,0.10514885568416024,COMPLETE
46,46,0.39412600663192804,2025-05-02 18:28:25.653272,2025-05-02 18:28:26.304741,0 days 00:00:00.651469,3.8906,17,1.8927844116428378,COMPLETE
47,47,0.9389614333434558,2025-05-02 18:28:26.305075,2025-05-02 18:28:26.952021,0 days 00:00:00.646946,3.8906,10,0.4102005562907606,COMPLETE
48,48,0.8175884575747167,2025-05-02 18:28:26.952415,2025-05-02 18:28:27.611987,0 days 00:00:00.659572,3.8906,10,0.7409769676184931,COMPLETE
49,49,0.7538963392533528,2025-05-02 18:28:27.612386,2025-05-02 18:28:28.269749,0 days 00:00:00.657363,3.8906,12,0.5842876694334391,COMPLETE
50,50,0.42024670353041255,2025-05-02 18:28:28.270083,2025-05-02 18:28:29.018210,0 days 00:00:00.748127,3.8906,16,0.4055078596397686,COMPLETE
51,51,0.8688308260754816,2025-05-02 18:28:29.018603,2025-05-02 18:28:29.694454,0 days 00:00:00.675851,3.8906,9,0.1802226239525596,COMPLETE
52,52,0.7699929228591649,2025-05-02 18:28:29.694826,2025-05-02 18:28:30.338842,0 days 00:00:00.644016,3.8906,11,0.33016340955752055,COMPLETE
53,53,0.775052557813595,2025-05-02 18:28:30.339229,2025-05-02 18:28:30.990391,0 days 00:00:00.651162,3.8906,13,0.17553657378070778,COMPLETE
54,54,0.762041696621136,2025-05-02 18:28:30.990789,2025-05-02 18:28:31.649748,0 days 00:00:00.658959,3.8906,11,0.48381087755287133,COMPLETE
55,55,0.9028735632183907,2025-05-02 18:28:31.650130,2025-05-02 18:28:32.300084,0 days 00:00:00.649954,3.8906,9,0.41280122772789274,COMPLETE
56,56,0.9389614333434558,2025-05-02 18:28:32.300515,2025-05-02 18:28:32.957570,0 days 00:00:00.657055,3.8906,10,0.4338095735685097,COMPLETE
57,57,0.44324324324324327,2025-05-02 18:28:32.958448,2025-05-02 18:28:33.644725,0 days 00:00:00.686277,3.8906,15,0.7419562410959151,COMPLETE
58,58,0.9422249539028889,2025-05-02 18:28:33.645078,2025-05-02 18:28:34.316452,0 days 00:00:00.671374,3.8906,10,0.5632913662534963,COMPLETE
59,59,0.7770700636942676,2025-05-02 18:28:34.316813,2025-05-02 18:28:34.962976,0 days 00:00:00.646163,3.8906,13,0.4227070372189116,COMPLETE
60,60,0.9422249539028889,2025-05-02 18:28:34.963336,2025-05-02 18:28:35.611302,0 days 00:00:00.647966,3.8906,10,0.5510752643738789,COMPLETE
61,61,0.9422249539028889,2025-05-02 18:28:35.611668,2025-05-02 18:28:36.247995,0 days 00:00:00.636327,3.8906,10,0.5484698859201294,COMPLETE
62,62,0.7540746106483157,2025-05-02 18:28:36.248349,2025-05-02 18:28:36.887116,0 days 00:00:00.638767,3.8906,12,0.5678044948869349,COMPLETE
63,63,0.82,2025-05-02 18:28:36.887488,2025-05-02 18:28:37.535358,0 days 00:00:00.647870,3.8906,10,0.8923488458857065,COMPLETE
64,64,0.7450834879406307,2025-05-02 18:28:37.535802,2025-05-02 18:28:38.160351,0 days 00:00:00.624549,3.8906,11,0.7599542282792497,COMPLETE
65,65,0.9422249539028889,2025-05-02 18:28:38.160791,2025-05-02 18:28:38.788293,0 days 00:00:00.627502,3.8906,10,0.5635322952922749,COMPLETE
66,66,0.7479970866715222,2025-05-02 18:28:38.788884,2025-05-02 18:28:39.412666,0 days 00:00:00.623782,3.8906,12,0.6711089307670268,COMPLETE
67,67,0.4444444444444445,2025-05-02 18:28:39.413029,2025-05-02 18:28:40.055284,0 days 00:00:00.642255,3.8906,15,0.5303785946661633,COMPLETE
68,68,0.6069578090303479,2025-05-02 18:28:40.055663,2025-05-02 18:28:40.694915,0 days 00:00:00.639252,3.8906,8,1.267714811090225,COMPLETE
69,69,0.8175884575747167,2025-05-02 18:28:40.695280,2025-05-02 18:28:41.333382,0 days 00:00:00.638102,3.8906,10,0.7011548502460774,COMPLETE
70,70,0.774468085106383,2025-05-02 18:28:41.333758,2025-05-02 18:28:41.978656,0 days 00:00:00.644898,3.8906,13,0.4601950876017261,COMPLETE
71,71,0.9364021804966688,2025-05-02 18:28:41.979019,2025-05-02 18:28:42.621577,0 days 00:00:00.642558,3.8906,10,0.3536347021462022,COMPLETE
72,72,0.7462135205024012,2025-05-02 18:28:42.621947,2025-05-02 18:28:43.265469,0 days 00:00:00.643522,3.8906,11,0.6281946080198446,COMPLETE
73,73,0.8648217136774881,2025-05-02 18:28:43.265919,2025-05-02 18:28:43.910169,0 days 00:00:00.644250,3.8906,8,0.5698690361524889,COMPLETE
74,74,0.7698327997154039,2025-05-02 18:28:43.910730,2025-05-02 18:28:44.552771,0 days 00:00:00.642041,3.8906,12,0.4737468079542101,COMPLETE
75,75,0.9364021804966688,2025-05-02 18:28:44.553144,2025-05-02 18:28:45.197521,0 days 00:00:00.644377,3.8906,10,0.33846684733884375,COMPLETE
76,76,0.8660667019587083,2025-05-02 18:28:45.197898,2025-05-02 18:28:45.855148,0 days 00:00:00.657250,3.8906,7,0.3514943985943403,COMPLETE
77,77,0.31008369868473495,2025-05-02 18:28:45.855613,2025-05-02 18:28:46.511691,0 days 00:00:00.656078,3.8906,5,0.5304641422471594,COMPLETE
78,78,0.06995073891625617,2025-05-02 18:28:46.512069,2025-05-02 18:28:47.172854,0 days 00:00:00.660785,3.8906,25,0.641032947333393,COMPLETE
79,79,0.9097658480868076,2025-05-02 18:28:47.173231,2025-05-02 18:28:47.841822,0 days 00:00:00.668591,3.8906,9,0.37004497748893905,COMPLETE
80,80,0.7450834879406307,2025-05-02 18:28:47.842198,2025-05-02 18:28:48.537055,0 days 00:00:00.694857,3.8906,11,0.8689347826463819,COMPLETE
81,81,0.9353864734299516,2025-05-02 18:28:48.537449,2025-05-02 18:28:49.198128,0 days 00:00:00.660679,3.8906,10,0.3051989212574093,COMPLETE
82,82,0.9395571514063434,2025-05-02 18:28:49.198518,2025-05-02 18:28:49.861380,0 days 00:00:00.662862,3.8906,10,0.28456267530515217,COMPLETE
83,83,0.9031330842196035,2025-05-02 18:28:49.861763,2025-05-02 18:28:50.522547,0 days 00:00:00.660784,3.8906,9,0.4633498186753754,COMPLETE
84,84,0.8648217136774881,2025-05-02 18:28:50.522924,2025-05-02 18:28:51.184821,0 days 00:00:00.661897,3.8906,8,0.5715937330711471,COMPLETE
85,85,0.4573951434878588,2025-05-02 18:28:51.185201,2025-05-02 18:28:51.849230,0 days 00:00:00.664029,3.8906,14,0.3936613199787113,COMPLETE
86,86,0.7941988950276243,2025-05-02 18:28:51.849622,2025-05-02 18:28:52.573281,0 days 00:00:00.723659,3.8906,12,0.24570379349928406,COMPLETE
87,87,0.9389614333434558,2025-05-02 18:28:52.574147,2025-05-02 18:28:53.275777,0 days 00:00:00.701630,3.8906,10,0.4451195453735512,COMPLETE
88,88,0.8654661016949152,2025-05-02 18:28:53.276172,2025-05-02 18:28:53.936155,0 days 00:00:00.659983,3.8906,7,0.4512143673962475,COMPLETE
89,89,0.13566289825282632,2025-05-02 18:28:53.936519,2025-05-02 18:28:54.555663,0 days 00:00:00.619144,3.8906,20,0.5176182474394758,COMPLETE
90,90,0.7450834879406307,2025-05-02 18:28:54.556008,2025-05-02 18:28:55.225767,0 days 00:00:00.669759,3.8906,11,0.7919294560172958,COMPLETE
91,91,0.9361186799878898,2025-05-02 18:28:55.226188,2025-05-02 18:28:55.850735,0 days 00:00:00.624547,3.8906,10,0.3183278016786153,COMPLETE
92,92,0.9110096976611523,2025-05-02 18:28:55.851147,2025-05-02 18:28:56.480220,0 days 00:00:00.629073,3.8906,9,0.359530031888192,COMPLETE
93,93,0.9395571514063434,2025-05-02 18:28:56.480574,2025-05-02 18:28:57.105796,0 days 00:00:00.625222,3.8906,10,0.2733582845508596,COMPLETE
94,94,0.9005477082732777,2025-05-02 18:28:57.106267,2025-05-02 18:28:57.728135,0 days 00:00:00.621868,3.8906,9,0.5981732054882868,COMPLETE
95,95,0.7692849594927792,2025-05-02 18:28:57.728542,2025-05-02 18:28:58.364759,0 days 00:00:00.636217,3.8906,11,0.2780563135455414,COMPLETE
96,96,0.8652369605507017,2025-05-02 18:28:58.365109,2025-05-02 18:28:59.014298,0 days 00:00:00.649189,3.8906,8,0.42635294152055914,COMPLETE
97,97,0.7388114453411593,2025-05-02 18:28:59.014654,2025-05-02 18:28:59.671656,0 days 00:00:00.657002,3.8906,12,0.6989418058846644,COMPLETE
98,98,0.7750087750087751,2025-05-02 18:28:59.672084,2025-05-02 18:29:00.314604,0 days 00:00:00.642520,3.8906,13,0.20872662766764488,COMPLETE
99,99,0.8675967359831533,2025-05-02 18:29:00.314961,2025-05-02 18:29:00.962395,0 days 00:00:00.647434,3.8906,6,0.143549726005207,COMPLETE
