,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_max_iter,params_penalty,params_tol,state
0,0,0.9003021148036254,2025-04-25 15:28:57.800557,2025-04-25 15:28:57.842579,0 days 00:00:00.042022,0.10144607374667562,balanced,500,l1,0.019022034568327625,COMPLETE
1,1,0.9155251141552511,2025-04-25 15:28:57.843009,2025-04-25 15:28:57.875492,0 days 00:00:00.032483,16.64650997646018,,500,l1,0.08051493505261763,COMPLETE
2,2,0.9027081243731194,2025-04-25 15:28:57.875876,2025-04-25 15:28:58.074204,0 days 00:00:00.198328,27.14786308695983,balanced,300,l1,0.00010794248623045193,COMPLETE
3,3,0.8653158522050058,2025-04-25 15:28:58.074575,2025-04-25 15:28:59.083884,0 days 00:00:01.009309,5.6349267423345735,,800,l2,0.00014503238011052884,COMPLETE
4,4,0.9153318077803204,2025-04-25 15:28:59.085124,2025-04-25 15:28:59.118121,0 days 00:00:00.032997,22.103431460045392,,300,l1,0.07740571426528157,COMPLETE
5,5,0.9169510807736063,2025-04-25 15:28:59.118475,2025-04-25 15:28:59.206159,0 days 00:00:00.087684,1.7128040247206566,,500,l1,0.0024274784696123966,COMPLETE
6,6,0.8144458281444582,2025-04-25 15:28:59.206473,2025-04-25 15:28:59.379087,0 days 00:00:00.172614,191.17553480957176,,800,l2,0.06741420075808306,COMPLETE
7,7,0.915909090909091,2025-04-25 15:28:59.379519,2025-04-25 15:28:59.421565,0 days 00:00:00.042046,0.6386539652971372,,800,l1,0.0028861307645569848,COMPLETE
8,8,0.915909090909091,2025-04-25 15:28:59.421893,2025-04-25 15:28:59.464651,0 days 00:00:00.042758,5.209470164425146,,800,l1,0.0048203261686650106,COMPLETE
9,9,0.9160997732426305,2025-04-25 15:28:59.464978,2025-04-25 15:28:59.594628,0 days 00:00:00.129650,933.991191761678,,800,l1,0.0007735368074892097,COMPLETE
10,10,0.8676616915422886,2025-04-25 15:28:59.594968,2025-04-25 15:28:59.797583,0 days 00:00:00.202615,0.0015216347047095262,balanced,100,l2,0.0007862678872924129,COMPLETE
11,11,0.9160997732426305,2025-04-25 15:28:59.797909,2025-04-25 15:28:59.959060,0 days 00:00:00.161151,924.1762705038792,,600,l1,0.0007960915323242169,COMPLETE
12,12,0.9194097616345063,2025-04-25 15:28:59.959480,2025-04-25 15:29:00.047110,0 days 00:00:00.087630,0.04223305567538776,,1000,l1,0.0007821818179261913,COMPLETE
13,13,0.9169510807736063,2025-04-25 15:29:00.047432,2025-04-25 15:29:00.100699,0 days 00:00:00.053267,0.02259479532610192,,1000,l1,0.0024865191196301244,COMPLETE
14,14,0.9183673469387756,2025-04-25 15:29:00.101049,2025-04-25 15:29:00.209960,0 days 00:00:00.108911,0.14424184488830288,,1000,l1,0.0003559241123855021,COMPLETE
15,15,0.9089068825910932,2025-04-25 15:29:00.210299,2025-04-25 15:29:01.716842,0 days 00:00:01.506543,0.012848239299511273,balanced,1000,l2,0.00031915470350241343,COMPLETE
16,16,0.9173272933182334,2025-04-25 15:29:01.717159,2025-04-25 15:29:01.849480,0 days 00:00:00.132321,0.2089958209886337,,1000,l1,0.0003291665223407943,COMPLETE
17,17,0.883939038686987,2025-04-25 15:29:01.849813,2025-04-25 15:29:01.891348,0 days 00:00:00.041535,0.002374680276584315,,900,l1,0.007161284263298257,COMPLETE
18,18,0.8933601609657946,2025-04-25 15:29:01.891680,2025-04-25 15:29:02.997859,0 days 00:00:01.106179,0.03173871348261111,balanced,700,l2,0.00024402192750924885,COMPLETE
19,19,0.9070034443168771,2025-04-25 15:29:02.998164,2025-04-25 15:29:03.045768,0 days 00:00:00.047604,0.006543352242539292,,900,l1,0.0011990453690010844,COMPLETE
20,20,0.9169510807736063,2025-04-25 15:29:03.046093,2025-04-25 15:29:03.091631,0 days 00:00:00.045538,0.09826784927242074,,600,l1,0.012707985609931744,COMPLETE
21,21,0.9173272933182334,2025-04-25 15:29:03.091961,2025-04-25 15:29:03.250255,0 days 00:00:00.158294,0.19460370499056284,,1000,l1,0.00038576125534853033,COMPLETE
22,22,0.918552036199095,2025-04-25 15:29:03.250596,2025-04-25 15:29:03.496923,0 days 00:00:00.246327,0.4139083287935911,,900,l1,0.00042833101226984676,COMPLETE
23,23,0.9148694665153235,2025-04-25 15:29:03.497250,2025-04-25 15:29:03.593435,0 days 00:00:00.096185,0.6993360540542121,,900,l1,0.001242918601250529,COMPLETE
24,24,0.9183673469387756,2025-04-25 15:29:03.593762,2025-04-25 15:29:03.732836,0 days 00:00:00.139074,0.06811372918986615,,900,l1,0.000187978831586099,COMPLETE
25,25,0.918552036199095,2025-04-25 15:29:03.733171,2025-04-25 15:29:03.947857,0 days 00:00:00.214686,0.42176660071343636,,700,l1,0.0004991661020044539,COMPLETE
26,26,0.8653158522050058,2025-04-25 15:29:03.948192,2025-04-25 15:29:04.847812,0 days 00:00:00.899620,1.4822093069437934,,700,l2,0.0012673290076390944,COMPLETE
27,27,0.9036144578313253,2025-04-25 15:29:04.848120,2025-04-25 15:29:05.009520,0 days 00:00:00.161400,0.4387222909625798,balanced,700,l1,0.00045179633376440356,COMPLETE
28,28,0.9019607843137255,2025-04-25 15:29:05.009855,2025-04-25 15:29:05.101298,0 days 00:00:00.091443,0.004546634362167084,,900,l1,0.0005559119110823584,COMPLETE
29,29,0.9067201604814443,2025-04-25 15:29:05.101626,2025-04-25 15:29:05.190310,0 days 00:00:00.088684,0.04003756773909199,balanced,400,l1,0.001730807941404511,COMPLETE
30,30,0.9160997732426305,2025-04-25 15:29:05.190641,2025-04-25 15:29:05.536177,0 days 00:00:00.345536,3.5577080002122528,,700,l1,0.00019892883122979449,COMPLETE
31,31,0.9173272933182334,2025-04-25 15:29:05.536520,2025-04-25 15:29:05.747803,0 days 00:00:00.211283,0.199741760715981,,1000,l1,0.0006211878774710379,COMPLETE
32,32,0.918552036199095,2025-04-25 15:29:05.748144,2025-04-25 15:29:06.180275,0 days 00:00:00.432131,0.32472530787998477,,900,l1,0.0001043441380268032,COMPLETE
33,33,0.918552036199095,2025-04-25 15:29:06.180594,2025-04-25 15:29:06.638588,0 days 00:00:00.457994,0.37420324868340543,,900,l1,0.00011853052782504358,COMPLETE
34,34,0.9194097616345063,2025-04-25 15:29:06.638902,2025-04-25 15:29:06.771135,0 days 00:00:00.132233,0.05461623320524094,,600,l1,0.0001733896335774012,COMPLETE
35,35,0.9181818181818182,2025-04-25 15:29:06.771458,2025-04-25 15:29:06.886209,0 days 00:00:00.114751,0.015918690802673774,,600,l1,0.00022616035927619,COMPLETE
36,36,0.9194097616345063,2025-04-25 15:29:06.886553,2025-04-25 15:29:07.002553,0 days 00:00:00.116000,0.05307447405467366,,400,l1,0.00014307763885472918,COMPLETE
37,37,0.8897795591182364,2025-04-25 15:29:07.002861,2025-04-25 15:29:07.673059,0 days 00:00:00.670198,0.06437095454902202,balanced,400,l2,0.0001487678602752705,COMPLETE
38,38,0.904487917146145,2025-04-25 15:29:07.673412,2025-04-25 15:29:07.739105,0 days 00:00:00.065693,0.00790758563001093,,200,l1,0.0001534921089359214,COMPLETE
39,39,0.9194097616345063,2025-04-25 15:29:07.739444,2025-04-25 15:29:07.848077,0 days 00:00:00.108633,0.039842735045319336,,400,l1,0.000254201145935599,COMPLETE
40,40,0.9169510807736063,2025-04-25 15:29:07.848410,2025-04-25 15:29:07.890896,0 days 00:00:00.042486,0.051404018186041255,,400,l1,0.05428314639667158,COMPLETE
41,41,0.9194097616345063,2025-04-25 15:29:07.891271,2025-04-25 15:29:07.976583,0 days 00:00:00.085312,0.021764137981793757,,300,l1,0.00021256998458364244,COMPLETE
42,42,0.9144811858608893,2025-04-25 15:29:07.976928,2025-04-25 15:29:08.058312,0 days 00:00:00.081384,0.01014893404826845,,300,l1,0.00027219377893914165,COMPLETE
43,43,0.904487917146145,2025-04-25 15:29:08.058627,2025-04-25 15:29:08.143403,0 days 00:00:00.084776,0.004860982056850761,,300,l1,0.00017030179401376436,COMPLETE
44,44,0.9194097616345063,2025-04-25 15:29:08.143720,2025-04-25 15:29:08.255194,0 days 00:00:00.111474,0.027677831715981847,,500,l1,0.00010124469718961012,COMPLETE
45,45,0.8585131894484413,2025-04-25 15:29:08.255499,2025-04-25 15:29:08.299670,0 days 00:00:00.044171,0.0010098061701352202,,200,l1,0.00024077599823762227,COMPLETE
46,46,0.8304668304668305,2025-04-25 15:29:08.301571,2025-04-25 15:29:08.842661,0 days 00:00:00.541090,49.84996473810034,,400,l2,0.00013617343944551306,COMPLETE
47,47,0.9157175398633257,2025-04-25 15:29:08.843007,2025-04-25 15:29:08.891922,0 days 00:00:00.048915,0.019937291977328964,,200,l1,0.003901077381471674,COMPLETE
48,48,0.9131313131313131,2025-04-25 15:29:08.892257,2025-04-25 15:29:08.954563,0 days 00:00:00.062306,0.0029528663203635705,balanced,500,l1,0.0002949176954421654,COMPLETE
49,49,0.915909090909091,2025-04-25 15:29:08.954895,2025-04-25 15:29:09.020253,0 days 00:00:00.065358,0.11876745334842179,,100,l1,0.0008522566055383794,COMPLETE
50,50,0.8304668304668305,2025-04-25 15:29:09.020574,2025-04-25 15:29:09.569311,0 days 00:00:00.548737,0.08865991433906058,,400,l2,0.00019660956501878085,COMPLETE
51,51,0.9194097616345063,2025-04-25 15:29:09.569666,2025-04-25 15:29:09.685930,0 days 00:00:00.116264,0.02816904160349957,,500,l1,0.00010598290473996013,COMPLETE
52,52,0.9194097616345063,2025-04-25 15:29:09.686238,2025-04-25 15:29:09.774910,0 days 00:00:00.088672,0.036258928135787794,,300,l1,0.000134947135941326,COMPLETE
53,53,0.9157175398633257,2025-04-25 15:29:09.775275,2025-04-25 15:29:09.859250,0 days 00:00:00.083975,0.014276563522605505,,500,l1,0.000301520900661896,COMPLETE
54,54,0.9194097616345063,2025-04-25 15:29:09.859592,2025-04-25 15:29:09.958062,0 days 00:00:00.098470,0.022946282487888797,,400,l1,0.00010218490661761664,COMPLETE
55,55,0.9194097616345063,2025-04-25 15:29:09.958367,2025-04-25 15:29:10.084767,0 days 00:00:00.126400,0.04996145565792885,,500,l1,0.00016443770820949989,COMPLETE
56,56,0.9173272933182334,2025-04-25 15:29:10.085081,2025-04-25 15:29:10.229738,0 days 00:00:00.144657,0.11201335789460894,,600,l1,0.00036752144048664634,COMPLETE
57,57,0.9144811858608893,2025-04-25 15:29:10.230074,2025-04-25 15:29:10.311880,0 days 00:00:00.081806,0.010365689991207138,,300,l1,0.00021597785479703012,COMPLETE
58,58,0.9194097616345063,2025-04-25 15:29:10.312200,2025-04-25 15:29:10.394255,0 days 00:00:00.082055,0.02300498112970494,,300,l1,0.0006249655558674716,COMPLETE
59,59,0.9120323559150657,2025-04-25 15:29:10.394606,2025-04-25 15:29:10.454719,0 days 00:00:00.060113,0.0025927694224935965,balanced,600,l1,0.0009983314920621715,COMPLETE
60,60,0.8253968253968255,2025-04-25 15:29:10.455087,2025-04-25 15:29:11.001483,0 days 00:00:00.546396,0.1741377946537056,,400,l2,0.00012958386458328364,COMPLETE
61,61,0.9194097616345063,2025-04-25 15:29:11.001795,2025-04-25 15:29:11.110124,0 days 00:00:00.108329,0.02938032949583635,,500,l1,0.00010579775014745537,COMPLETE
62,62,0.9183673469387756,2025-04-25 15:29:11.110448,2025-04-25 15:29:11.234063,0 days 00:00:00.123615,0.07331214396774342,,500,l1,0.00018061966181754765,COMPLETE
63,63,0.9070034443168771,2025-04-25 15:29:11.234383,2025-04-25 15:29:11.323873,0 days 00:00:00.089490,0.005699327253650852,,500,l1,0.0002557519493337551,COMPLETE
64,64,0.9169510807736063,2025-04-25 15:29:11.324208,2025-04-25 15:29:11.388807,0 days 00:00:00.064599,0.03948841701760952,,400,l1,0.0018936634931413293,COMPLETE
65,65,0.9181818181818182,2025-04-25 15:29:11.389147,2025-04-25 15:29:11.508440,0 days 00:00:00.119293,0.012483842235683357,,600,l1,0.00012643091895618686,COMPLETE
66,66,0.9194097616345063,2025-04-25 15:29:11.508757,2025-04-25 15:29:11.596708,0 days 00:00:00.087951,0.027729339595384414,,500,l1,0.00039067333809472926,COMPLETE
67,67,0.9160997732426305,2025-04-25 15:29:11.597049,2025-04-25 15:29:11.906158,0 days 00:00:00.309109,0.8373103438441047,,800,l1,0.00017289870329259926,COMPLETE
68,68,0.9194097616345063,2025-04-25 15:29:11.906499,2025-04-25 15:29:11.991609,0 days 00:00:00.085110,0.05785891209286384,,200,l1,0.0001012989287144196,COMPLETE
69,69,0.9003021148036254,2025-04-25 15:29:11.991922,2025-04-25 15:29:12.045499,0 days 00:00:00.053577,0.2831259704679013,balanced,300,l1,0.005821877362837481,COMPLETE
70,70,0.9181818181818182,2025-04-25 15:29:12.045847,2025-04-25 15:29:12.138348,0 days 00:00:00.092501,0.017713218716906204,,400,l1,0.00022348062064937838,COMPLETE
71,71,0.9194097616345063,2025-04-25 15:29:12.138657,2025-04-25 15:29:12.229930,0 days 00:00:00.091273,0.03539413436305278,,300,l1,0.00013739836468280102,COMPLETE
72,72,0.9173272933182334,2025-04-25 15:29:12.230239,2025-04-25 15:29:12.374198,0 days 00:00:00.143959,0.13148652165069288,,400,l1,0.0001286187612597952,COMPLETE
73,73,0.91324200913242,2025-04-25 15:29:12.374508,2025-04-25 15:29:12.453024,0 days 00:00:00.078516,0.00796485176543653,,300,l1,0.00015287982372250023,COMPLETE
74,74,0.9183673469387756,2025-04-25 15:29:12.453336,2025-04-25 15:29:12.550531,0 days 00:00:00.097195,0.08421888375176263,,200,l1,0.00033226713081949035,COMPLETE
75,75,0.9169510807736063,2025-04-25 15:29:12.550838,2025-04-25 15:29:12.595027,0 days 00:00:00.044189,0.04270922126224962,,300,l1,0.010980776399336464,COMPLETE
76,76,0.9194097616345063,2025-04-25 15:29:12.595359,2025-04-25 15:29:12.686505,0 days 00:00:00.091146,0.03194832373193202,,500,l1,0.0004572478650230497,COMPLETE
77,77,0.8304668304668305,2025-04-25 15:29:12.686843,2025-04-25 15:29:13.207114,0 days 00:00:00.520271,0.01594205179951285,,400,l2,0.00020818366107743517,COMPLETE
78,78,0.9194097616345063,2025-04-25 15:29:13.207431,2025-04-25 15:29:13.343593,0 days 00:00:00.136162,0.05584474887392579,,600,l1,0.0002758162962325734,COMPLETE
79,79,0.915909090909091,2025-04-25 15:29:13.343942,2025-04-25 15:29:13.387640,0 days 00:00:00.043698,8.229940110626556,,100,l1,0.033890935119873976,COMPLETE
80,80,0.9006928406466512,2025-04-25 15:29:13.387977,2025-04-25 15:29:13.444222,0 days 00:00:00.056245,0.004460688191005924,,800,l1,0.00012393031399866026,COMPLETE
81,81,0.915909090909091,2025-04-25 15:29:13.444750,2025-04-25 15:29:13.538382,0 days 00:00:00.093632,0.021936972735744492,,400,l1,0.00010484036781632722,COMPLETE
82,82,0.91324200913242,2025-04-25 15:29:13.538695,2025-04-25 15:29:13.632394,0 days 00:00:00.093699,0.008433532327429678,,400,l1,0.00015768298898377213,COMPLETE
83,83,0.9194097616345063,2025-04-25 15:29:13.632710,2025-04-25 15:29:13.719860,0 days 00:00:00.087150,0.027975363728674745,,300,l1,0.00011609495830061028,COMPLETE
84,84,0.9157175398633257,2025-04-25 15:29:13.720195,2025-04-25 15:29:13.813275,0 days 00:00:00.093080,0.012110107422571058,,400,l1,0.0001950826079709734,COMPLETE
85,85,0.9150622876557193,2025-04-25 15:29:13.813591,2025-04-25 15:29:14.087277,0 days 00:00:00.273686,344.3679625656251,,500,l1,0.00010221288023835001,COMPLETE
86,86,0.9027081243731194,2025-04-25 15:29:14.087608,2025-04-25 15:29:14.240246,0 days 00:00:00.152638,0.25335585620658874,balanced,200,l1,0.00014093842028471094,COMPLETE
87,87,0.9183673469387756,2025-04-25 15:29:14.240569,2025-04-25 15:29:14.365481,0 days 00:00:00.124912,0.09432140965677312,,400,l1,0.00016311351831287387,COMPLETE
88,88,0.9181818181818182,2025-04-25 15:29:14.365800,2025-04-25 15:29:14.449840,0 days 00:00:00.084040,0.0184977386993957,,300,l1,0.0002440143319445016,COMPLETE
89,89,0.9194097616345063,2025-04-25 15:29:14.450159,2025-04-25 15:29:14.535277,0 days 00:00:00.085118,0.04950483497824199,,500,l1,0.000544119903083096,COMPLETE
90,90,0.8516284680337757,2025-04-25 15:29:14.535615,2025-04-25 15:29:15.200690,0 days 00:00:00.665075,0.15115163435442172,,500,l2,0.00019006079139167507,COMPLETE
91,91,0.9194097616345063,2025-04-25 15:29:15.201014,2025-04-25 15:29:15.322997,0 days 00:00:00.121983,0.04379932886476104,,500,l1,0.0001613608966368369,COMPLETE
92,92,0.9183673469387756,2025-04-25 15:29:15.323321,2025-04-25 15:29:15.450978,0 days 00:00:00.127657,0.06881573239769698,,600,l1,0.0001420580756105558,COMPLETE
93,93,0.9194097616345063,2025-04-25 15:29:15.451295,2025-04-25 15:29:15.560577,0 days 00:00:00.109282,0.024247851608707044,,500,l1,0.00011664866927006917,COMPLETE
94,94,0.9194097616345063,2025-04-25 15:29:15.560907,2025-04-25 15:29:15.663095,0 days 00:00:00.102188,0.03466102857954196,,400,l1,0.0001779880969128247,COMPLETE
95,95,0.9194097616345063,2025-04-25 15:29:15.663418,2025-04-25 15:29:15.765576,0 days 00:00:00.102158,0.061542961553132526,,600,l1,0.00030931077775466973,COMPLETE
96,96,0.899421965317919,2025-04-25 15:29:15.765926,2025-04-25 15:29:15.839613,0 days 00:00:00.073687,0.0034240510055158417,,700,l1,0.00023071896911876046,COMPLETE
97,97,0.9173272933182334,2025-04-25 15:29:15.839976,2025-04-25 15:29:15.953769,0 days 00:00:00.113793,0.1082523828677992,,300,l1,0.00010026768230633638,COMPLETE
98,98,0.9122098890010092,2025-04-25 15:29:15.954086,2025-04-25 15:29:16.059553,0 days 00:00:00.105467,0.010185702945894827,balanced,400,l1,0.0001225101580757438,COMPLETE
99,99,0.862604540023895,2025-04-25 15:29:16.059874,2025-04-25 15:29:16.113207,0 days 00:00:00.053333,0.0016412327813684973,,500,l1,0.00026165798315644394,COMPLETE
