TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
2016,26715,47,284,0.9772,0.8765,0.9241,0.9982,0.9886,0.1,train
390,5355,9,58,0.9774,0.8705,0.9209,0.9983,0.9885,0.1,val
1622,21363,44,221,0.9736,0.8801,0.9245,0.9979,0.9886,0.1,test
