TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
1715,26764,9,574,0.9948,0.7492,0.8547,0.9997,0.9799,0.2,train
329,5361,12,110,0.9648,0.7494,0.8436,0.9978,0.979,0.2,val
1395,21338,49,468,0.9661,0.7488,0.8437,0.9977,0.9778,0.2,test
