TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
757,56440,78,231,0.9066,0.7662,0.8305,0.9986,0.9946,0.5,train
1703,55448,101,254,0.944,0.8702,0.9056,0.9982,0.9938,0.5,val
11778,347393,98763,2115,0.1065,0.8478,0.1893,0.7786,0.7807,0.5,test
