TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
18240,24548,0,0,1.0,1.0,1.0,1.0,1.0,0.5,train
3677,4879,0,1,1.0,0.9997,0.9999,1.0,0.9999,0.5,val
14557,19665,2,8,0.9999,0.9995,0.9997,0.9999,0.9997,0.5,test
