TP,TN,FP,FN,precision,recall,f1,tnr,acc,offset,split
783,12322,2,390,0.9975,0.6675,0.7998,0.9998,0.971,0.4,train
775,12324,33,365,0.9592,0.6798,0.7957,0.9973,0.9705,0.4,val
5825,98927,251,2978,0.9587,0.6617,0.783,0.9975,0.9701,0.4,test
